,precision,recall,f1-score,support
s1,0.5,0.5,0.5,2.0
s10,1.0,1.0,1.0,2.0
s11,1.0,1.0,1.0,2.0
s12,1.0,1.0,1.0,2.0
s13,1.0,1.0,1.0,2.0
s14,1.0,1.0,1.0,2.0
s15,1.0,0.5,0.6666666666666666,2.0
s16,1.0,0.5,0.6666666666666666,2.0
s17,0.6666666666666666,1.0,0.8,2.0
s18,1.0,1.0,1.0,2.0
s19,1.0,1.0,1.0,2.0
s2,1.0,1.0,1.0,2.0
s20,1.0,1.0,1.0,2.0
s21,1.0,1.0,1.0,2.0
s22,1.0,1.0,1.0,2.0
s23,1.0,1.0,1.0,2.0
s24,0.6666666666666666,1.0,0.8,2.0
s25,1.0,1.0,1.0,2.0
s26,1.0,1.0,1.0,2.0
s27,0.6666666666666666,1.0,0.8,2.0
s28,1.0,0.5,0.6666666666666666,2.0
s29,1.0,1.0,1.0,2.0
s3,1.0,1.0,1.0,2.0
s30,1.0,0.5,0.6666666666666666,2.0
s31,0.6666666666666666,1.0,0.8,2.0
s32,1.0,0.5,0.6666666666666666,2.0
s33,1.0,1.0,1.0,2.0
s34,1.0,1.0,1.0,2.0
s35,1.0,1.0,1.0,2.0
s36,1.0,0.5,0.6666666666666666,2.0
s37,1.0,1.0,1.0,2.0
s38,0.6666666666666666,1.0,0.8,2.0
s39,0.6666666666666666,1.0,0.8,2.0
s4,1.0,1.0,1.0,2.0
s40,1.0,1.0,1.0,2.0
s5,1.0,1.0,1.0,2.0
s6,1.0,1.0,1.0,2.0
s7,1.0,1.0,1.0,2.0
s8,1.0,1.0,1.0,2.0
s9,1.0,1.0,1.0,2.0
accuracy,0.9125,0.9125,0.9125,0.9125
macro avg,0.9375,0.9125,0.9075,80.0
weighted avg,0.9375,0.9125,0.9075,80.0
