,index,y_pred,y_test
0,0,s10,s10
1,1,s5,s5
2,2,s26,s26
3,3,s24,s24
4,4,s9,s9
5,5,s38,s30
6,6,s39,s39
7,7,s27,s27
8,8,s12,s12
9,9,s40,s40
10,10,s32,s32
11,11,s34,s34
12,12,s9,s9
13,13,s36,s36
14,14,s18,s18
15,15,s5,s5
16,16,s29,s29
17,17,s40,s40
18,18,s2,s2
19,19,s6,s6
20,20,s33,s33
21,21,s27,s27
22,22,s3,s3
23,23,s3,s3
24,24,s8,s8
25,25,s19,s19
26,26,s38,s38
27,27,s20,s20
28,28,s19,s19
29,29,s14,s14
30,30,s34,s34
31,31,s8,s8
32,32,s23,s23
33,33,s29,s29
34,34,s7,s7
35,35,s31,s32
36,36,s17,s28
37,37,s22,s22
38,38,s13,s13
39,39,s1,s1
40,40,s20,s20
41,41,s11,s11
42,42,s17,s17
43,43,s11,s11
44,44,s25,s25
45,45,s37,s37
46,46,s22,s22
47,47,s30,s30
48,48,s38,s38
49,49,s39,s15
50,50,s18,s18
51,51,s24,s24
52,52,s13,s13
53,53,s17,s17
54,54,s7,s7
55,55,s21,s21
56,56,s39,s39
57,57,s28,s28
58,58,s26,s26
59,59,s37,s37
60,60,s4,s4
61,61,s31,s31
62,62,s1,s36
63,63,s35,s35
64,64,s4,s4
65,65,s25,s25
66,66,s12,s12
67,67,s21,s21
68,68,s2,s2
69,69,s6,s6
70,70,s14,s14
71,71,s35,s35
72,72,s16,s16
73,73,s10,s10
74,74,s33,s33
75,75,s24,s1
76,76,s23,s23
77,77,s27,s16
78,78,s15,s15
79,79,s31,s31
